,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
254,7,2,7,9,1,9,0.0009999275207519531,0.29361702127659584,12,4,9,5
255,7,2,7,9,1,10,0.002000093460083008,0.12695074865627023,12,4,9,5
256,7,2,7,9,1,11,0.0009999275207519531,0.22364993278635334,12,4,9,5
257,7,2,7,9,1,12,0.0019998550415039062,2.220446049250313e-16,12,4,9,5
258,7,2,7,9,2,1,0.0009999275207519531,0.8069148936170213,4,1,2,3
259,7,2,7,9,2,2,0.0010001659393310547,0.8,4,1,2,3
260,7,2,7,9,2,3,0.0010616779327392578,0.5872340425531914,4,1,2,3
261,7,2,7,9,2,4,0.0,0.0,4,1,2,3
262,7,2,7,10,1,1,0.0009999275207519531,0.8069148936170213,14,5,12,6
263,7,2,7,10,1,2,0.0010001659393310547,0.8,14,5,12,6
264,7,2,7,10,1,3,0.0009999275207519531,0.5872340425531914,14,5,12,6
265,7,2,7,10,1,4,0.0,0.6297872340425532,14,5,12,6
266,7,2,7,10,1,5,0.0009999275207519531,0.35238095238095235,14,5,12,6
267,7,2,7,10,1,6,0.0009999275207519531,0.23351063829787233,14,5,12,6
268,7,2,7,10,1,7,0.0009999275207519531,0.3468085106382979,14,5,12,6
269,7,2,7,10,1,8,0.0020568370819091797,0.25137567599573674,14,5,12,6
270,7,2,7,10,1,9,0.001001596450805664,0.2978723404255319,14,5,12,6
271,7,2,7,10,1,10,0.001001596450805664,0.14347670028571025,14,5,12,6
272,7,2,7,10,1,11,0.0019998550415039062,0.29361702127659584,14,5,12,6
273,7,2,7,10,1,12,0.0019998550415039062,0.10391147017401042,14,5,12,6
274,7,2,7,10,1,13,0.0019998550415039062,0.08041455869803732,14,5,12,6
275,7,2,7,10,1,14,0.0020482540130615234,2.220446049250313e-16,14,5,12,6
276,7,2,7,10,2,1,0.0,0.0,1,1,1,1
277,7,2,8,7,1,1,0.0010366439819335938,0.8010958904109589,19,6,16,7
278,7,2,8,7,1,2,0.001001596450805664,0.8,19,6,16,7
279,7,2,8,7,1,3,0.001001596450805664,0.4575342465753424,19,6,16,7
280,7,2,8,7,1,4,0.001001119613647461,0.5260273972602739,19,6,16,7
281,7,2,8,7,1,5,0.0010013580322265625,0.31735537190082647,19,6,16,7
282,7,2,8,7,1,6,0.002000093460083008,0.20273972602739726,19,6,16,7
283,7,2,8,7,1,7,0.0009999275207519531,0.3221917808219178,19,6,16,7
284,7,2,8,7,1,8,0.002080202102661133,0.27693707191780825,19,6,16,7
285,7,2,8,7,1,9,0.0009999275207519531,0.31342465753424664,19,6,16,7
286,7,2,8,7,1,10,0.002000093460083008,0.22519685039370083,19,6,16,7
287,7,2,8,7,1,11,0.0019998550415039062,0.2440410482737604,19,6,16,7
288,7,2,8,7,1,12,0.002000093460083008,0.09349864114146214,19,6,16,7
289,7,2,8,7,1,13,0.002061128616333008,0.17324245143673248,19,6,16,7
290,7,2,8,7,1,14,0.003000020980834961,0.23452054794520555,19,6,16,7
291,7,2,8,7,1,15,0.002000093460083008,0.1345022611875015,19,6,16,7
292,7,2,8,7,1,16,0.003000020980834961,0.1576888837837064,19,6,16,7
293,7,2,8,7,1,17,0.0031211376190185547,0.18135593220338986,19,6,16,7
294,7,2,8,7,1,18,0.0030782222747802734,0.12824752182516327,19,6,16,7
295,7,2,8,7,1,19,0.003000020980834961,5.551115123125783e-17,19,6,16,7
296,7,2,8,7,2,1,0.0009999275207519531,0.8010958904109589,14,5,11,6
297,7,2,8,7,2,2,0.0009999275207519531,0.8,14,5,11,6
298,7,2,8,7,2,3,0.0009999275207519531,0.4575342465753424,14,5,11,6
299,7,2,8,7,2,4,0.0010001659393310547,0.5260273972602739,14,5,11,6
300,7,2,8,7,2,5,0.0009996891021728516,0.31735537190082647,14,5,11,6
301,7,2,8,7,2,6,0.0010001659393310547,0.20273972602739726,14,5,11,6
302,7,2,8,7,2,7,0.0009999275207519531,0.3221917808219178,14,5,11,6
303,7,2,8,7,2,8,0.0009999275207519531,0.27693707191780825,14,5,11,6
304,7,2,8,7,2,9,0.0009999275207519531,0.31342465753424664,14,5,11,6
305,7,2,8,7,2,10,0.002000093460083008,0.2627440405565743,14,5,11,6
306,7,2,8,7,2,11,0.0019998550415039062,0.3002739726027398,14,5,11,6
307,7,2,8,7,2,12,0.0020003318786621094,0.08676311864002567,14,5,11,6
308,7,2,8,7,2,13,0.0010960102081298828,0.12202052413688028,14,5,11,6
309,7,2,8,7,2,14,0.0030095577239990234,1.6653345369377348e-16,14,5,11,6
310,7,2,8,8,1,1,0.0009999275207519531,0.8010958904109589,15,5,12,6
311,7,2,8,8,1,2,0.0009999275207519531,0.8,15,5,12,6
312,7,2,8,8,1,3,0.0010001659393310547,0.4575342465753424,15,5,12,6
313,7,2,8,8,1,4,0.0009999275207519531,0.5260273972602739,15,5,12,6
314,7,2,8,8,1,5,0.0009999275207519531,0.31735537190082647,15,5,12,6
315,7,2,8,8,1,6,0.0009999275207519531,0.20273972602739726,15,5,12,6
316,7,2,8,8,1,7,0.0009999275207519531,0.3221917808219178,15,5,12,6
317,7,2,8,8,1,8,0.002000093460083008,0.27693707191780825,15,5,12,6
318,7,2,8,8,1,9,0.0010001659393310547,0.31342465753424664,15,5,12,6
319,7,2,8,8,1,10,0.0019998550415039062,0.2627440405565743,15,5,12,6
320,7,2,8,8,1,11,0.002000093460083008,0.3002739726027398,15,5,12,6
321,7,2,8,8,1,12,0.002003192901611328,0.17352623728005112,15,5,12,6
322,7,2,8,8,1,13,0.0019998550415039062,0.2183266932270917,15,5,12,6
323,7,2,8,8,1,14,0.0029997825622558594,0.07129802182419595,15,5,12,6
324,7,2,8,8,1,15,0.002000093460083008,5.551115123125783e-17,15,5,12,6
325,7,2,8,8,2,1,0.0,0.0,1,1,1,1
326,7,2,8,9,1,1,0.0009996891021728516,0.8010958904109589,7,1,4,4
327,7,2,8,9,1,2,0.0010001659393310547,0.8,7,1,4,4
328,7,2,8,9,1,3,0.0009999275207519531,0.4575342465753424,7,1,4,4
329,7,2,8,9,1,4,0.0009999275207519531,0.5260273972602739,7,1,4,4
330,7,2,8,9,1,5,0.0009999275207519531,0.31735537190082647,7,1,4,4
331,7,2,8,9,1,6,0.0009999275207519531,0.20273972602739726,7,1,4,4
332,7,2,8,9,1,7,0.0010001659393310547,0.0,7,1,4,4
333,7,2,8,9,2,1,0.0009996891021728516,0.8010958904109589,4,1,2,3
